,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
54,54,86,54____,"['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['ونظيفه', 'ونظيفه', 'ونظيفه']"
55,55,86,55_والاهتمام_والتقييم__,"['والاهتمام', 'والتقييم', '', '', '', '', '', '', '', '']","['والاهتمام', 'والتقييم', '', '', '', '', '', '', '', '']","['والاهتمام', 'والاهتمام', 'والاهتمام']"
56,56,82,56_وتعليم_وخلوقه__,"['وتعليم', 'وخلوقه', '', '', '', '', '', '', '', '']","['وتعليم', '', '', '', '', '', '', '', '', '']","['وتعليم', 'وتعليم', 'وتعليم']"
57,57,76,57_وحنونات_اداره راءعه_المديره_اداره,"['وحنونات', 'اداره راءعه', 'المديره', 'اداره', 'متعاونات', 'راءعه', 'فريق العمل', 'الماده', 'فريق', 'العمل']","['وحنونات', 'فريق', 'راءعه', 'افضل', 'راءع', 'العمل', 'المديره', 'اداره راءعه', 'الان', 'اداره']","['وحنونات', 'وحنونات', 'وحنونات']"
58,58,74,58_ومتعاون_ومبدعه_والموظفات_ومبدعين,"['ومتعاون', 'ومبدعه', 'والموظفات', 'ومبدعين', 'عطاء', 'تدرس', 'المعلومه', 'جداا', 'جد', 'يوم']","['ومتعاون', 'ومبدعين', 'ومبدعه', 'والموظفات', 'عطاء', 'بنتي', 'جداا', 'جد', 'المعلومه', 'تدرس']","['ومتعاون', 'ومتعاون', 'ومتعاون']"
59,59,70,59_الوكيل_اجرهم_ويكتب_وكتب,"['الوكيل', 'اجرهم', 'ويكتب', 'وكتب', 'كتب', 'خيرا', 'يكتب', 'مديره', '', '']","['الوكيل', 'مديره', 'ويكتب', 'وكتب', 'خيرا', 'يكتب', '', '', '', '']","['الوكيل', 'الوكيل', 'الوكيل']"
60,60,64,60_والاداره_للاداره_وبالنسبه_بالنسبه,"['والاداره', 'للاداره', 'وبالنسبه', 'بالنسبه', '', '', '', '', '', '']","['والاداره', 'للاداره', 'بالنسبه', 'وبالنسبه', '', '', '', '', '', '']","['والاداره', 'والاداره', 'والاداره']"
61,61,62,61_ولله الحمد_ولله_الحمد_اجرها,"['ولله الحمد', 'ولله', 'الحمد', 'اجرها', 'ويكتب', 'يسعدكم', 'اجر', 'الحمد الله', 'يكتب اجرها', 'يسعدهم']","['ولله الحمد', 'الحمد الله', 'ولله', 'الحمد', 'الله', 'شيء', '', '', '', '']","['ولله الحمد', 'ولله الحمد', 'ولله الحمد']"
62,62,59,62_ومتعاونين_مرنين_متعاونين_لطيفين,"['ومتعاونين', 'مرنين', 'متعاونين', 'لطيفين', 'ومتعاون', 'الاهل', 'الجميع', 'جد', 'الطفل', '']","['ومتعاونين', 'ومتعاون', 'متعاونين', 'مرنين', 'لطيفين', 'الاهل', 'الجميع', 'جد', '', '']","['ومتعاونين', 'ومتعاونين', 'ومتعاونين']"
63,63,59,63_ويبارك_جزاكم الله خير_جزاكم الله_جزاكم,"['ويبارك', 'جزاكم الله خير', 'جزاكم الله', 'جزاكم', 'الله خير', 'خير', 'الله', 'خيرا', 'كتاب', 'سهوله']","['جزاكم الله خير', 'جزاكم الله', 'جزاكم', 'الله خير', 'خير', 'الخير', 'خيرا', 'الله', 'اهنيكم', 'يوفق']","['جزاكم الله خير', 'جزاكم الله خير', 'جزاكم الله خير']"
64,64,56,64_والارقام_وارقام_واسماء_عربي,"['والارقام', 'وارقام', 'واسماء', 'عربي', 'مميزين', 'رقم', '', '', '', '']","['والارقام', 'وارقام', 'واسماء', 'رقم', 'مميزين', 'عربي', '', '', '', '']","['والارقام', 'والارقام', 'والارقام']"
65,65,55,65_وترتيب_معلمات_والمعلومات_الصف,"['وترتيب', 'معلمات', 'والمعلومات', 'الصف', 'باقي', 'المعلمات', '', '', '', '']","['وترتيب', 'والمعلومات', 'المعلمات', 'باقي', 'الصف', 'معلمات', '', '', '', '']","['وترتيب', 'وترتيب', 'وترتيب']"
66,66,54,66_واخلاق_يوم__,"['واخلاق', 'يوم', '', '', '', '', '', '', '', '']","['واخلاق', '', '', '', '', '', '', '', '', '']","['واخلاق', 'واخلاق', 'واخلاق']"
67,67,54,67_واسع_والالعاب_فضله_ومريحه,"['واسع', 'والالعاب', 'فضله', 'ومريحه', 'الالعاب', 'يارب', '', '', '', '']","['فضله', 'يارب', 'واسع', 'ومريحه', '', '', '', '', '', '']","['واسع فضله', 'واسع فضله', 'واسع فضله']"
